kanji	codepoint	strokes	grade	freq	jlpt	ref_sh_kk	on'yomi	kun'yomi	meanings
鎫	37803	18					バン		ornament over the horse's head
鎴	37812	18					ソク	ストロンチウム	Strontium (element)
鎵	37813	18					カ	ガリウム	Gallium (element)
鎶	37814	18					カ	コロンビウム	Columbium (element)
鎺	37818	18						はばき	
鎩	37801	18					サイ, サツ, セチ	めば･える	moult samarium
鏁	37825	19					サ	くさり, とざ･す	
鏄	37828	19					タン	てつのかたまり	
鏅	37829	19					シュウ, シュ	きた･える	
鏆	37830	19					カン	うがつ, うでわ	
鏇	37831	19					セン	ろくろ	lathe
鏉	37833	19					シュウ, シュ, ソウ, ソク	するど･い, さび, え･る, ほ･る	
鏊	37834	19					ギョウ, ゴウ	やきなべ	
鏋	37835	19					バン, マン	こがね	
鏌	37836	19					バク, マク		sword
鏍	37837	19					ラ		
鏓	37843	19					ソウ, ス, ボウ, ム	おおのみ, おおのめ	
鏙	37849	19					サイ, スイ	ま･じる	
鏜	37852	19					トウ		boring tool
鏞	37854	19					ヨウ, ユ	つりがね	large bell used as musical instrument
鏟	37855	19					サン, セン	いたがね	spade, shovel, trowel, scoop
鏢	37858	19					ヒョウ	こじり	dart, spear, harpoon, escort
鏦	37862	19					ショウ, シュ, ソウ	ほこ	spear
鏧	37863	19					ロウ		
鏹	37881	20					キョウ, コウ	ぜに	coins, money, wealth
鏷	37879	20					ホク	あらがね	Protactinium (element)
鏸	37880	20					ケイ, テイ, エ, セイ, エイ	するど･い	
鏺	37882	20					ハツ, ハチ	かま	
鏻	37883	20					リン, レイ, リョウ	つよ･い	Phosphonium (element), phosphorus
鏽	37885	20					シュウ	さび	rust, corrode
鐁	37889	20					シ	かんな	
鐂	37890	20					リュウ, ル	こしき, かま, ころ･す	
鐄	37892	20					コウ, オウ		bell
鐈	37896	20					キョウ	たかあしのなべ	
鐉	37897	20					セン, テン		
鐍	37901	20					ケツ, テツ, テチ, イツ, イチ	おびどめ	
鐎	37902	20					ショウ, シュウ, シュ	なべ	
鐏	37903	20					ソン, サン	いしづき	cap
鐕	37909	20					サン		
鐖	37910	20					キ, ケ, ゲ, ガイ	さかばり	
鐗	37911	20					カン, ケン	ほこ, むち	
鐟	37919	20					テイ	チタニウム	Titanium (element)
鐮	37934	21					レン, ケン	かま	sickle
鐯	37935	21					シャク, チャク	くわ, おおすき	
鐱	37937	21					セン, ケン	すき	
鐲	37938	21					タク, ショク, ゾク	ふりがね	bracelet, arm-band, small bell
鐳	37939	21					ライ	かめ, ラジウム	loach, misgurnus anguillicaudatu, Radium (element)
鐴	37940	21					ヘキ, ヒャク, ヘイ	からすきのみみ, みが･く	
鐻	37947	21					キョ, コ	かねかけ	drumstick
鐿	37951	21					イ	イッテルビウム	Ytterbium (element)
鐽	37949	21					タツ		
鑃	37955	22					チョウ, ヨウ	なべ	
鑅	37957	22					コウ		
鑈	37960	22					ゲイ, ナイ, シ, ニ, ジョウ, ニョウ		
鑊	37962	22					カク, ワク	かま	cauldron, large iron pot
鑌	37964	22					ヒン	はがね	high quality iron
鑕	37973	23					シツ, シチ	かなとこ	Tungsten (element), Wolfram
鑙	37977	23					ケイ	かた･い	
鑜	37980	23					ショウ	け, かれい, かれい･い, べんとう	
鑟	37983	23					トク	いんばこ	
鑡	37985	23					サク	おおばん	
鑣	37987	23					ヒョウ	くつわ	horse's bit, bridle, ride
鑨	37992	24					ロウ, ル	うつわ	
鑫	37995	24					キン, コン, クン, キョク		used in names
鑭	37997	25					ラン	ランタン	Lanthanum (element)
鑮	37998	25					ハク	おおがね	
鑯	37999	25					セン, チン, シン	きざ･む	
鑱	38001	25					サン, ゼン	するど･い	spade, trowel
鑲	38002	25					ジョウ, ニョウ, ソウ	いがた	insert, inlay, set, mount, fill, fit into
钄	38020	29					ラン		
钃	38019	29					ショク, ゾク, チョク, トク	すき	
镸	38264	7					チョウ	なが･い, おさ	long radical (no. 168)
镹	38265	10					キュウ, ク	なが･い	
镾	38270	21					ビ, ミ	わた･る, とりつくろう	
閄	38276	10					コク, ワク		
閈	38280	11					カン	さと, ふせ･ぐ, と･じる	village
閌	38284	12					コウ		door
閍	38285	12					ホウ, ヒョウ, ベン, メン		
閎	38286	12					コウ, オウ		gate, barrier, wide, vast, expand
閝	38301	13					レイ, リョウ	きりまど	
閞	38302	13					ヘン, ハン, ボン	はしらのますがた	
閟	38303	13					ヒ	と･じる	hide, keep secret, hideaway
閡	38305	14					カイ, コク, ガイ, ゲ	し･める	blocked, separated, to prevent
閦	38310	14					シュク	おお･い	"crowd, transliteration of Sanskrit ""kSo"", e.g. akSobhya"
閩	38313	14					ベン, ミン, ブン, モン, ビン		Fujian province, river, tribe
閫	38315	15					コン	しきみ	threshold, women's quarters
閬	38316	15					ロウ, トウ, リョウ		high door, high gate, high, loft
閴	38324	15					ケキ	しず･か, ひっそり	quiet
閶	38326	16					ショウ, トウ		gate of heaven, main gate of palace
閺	38330	16					ベン, ミン, ビン		
閽	38333	16					コン	もんばん	gatekeeper, gate, door
閿	38335	16					ブン	みる	Wen Xiang, Henan province
闆	38342	17					ハン, ヘン	みる	boss, the owner, person in charge
闈	38344	17					イ, キ		gate, door, living quarters
闉	38345	17					イン, エン		curved, bent, curved wall enclosure
闋	38347	17					ケツ, ケチ, ケイ, ケ	と･じる	close, shut, watch-tower, rest
闐	38352	18					テン, キ	さかん	place in Xinjiang province
闑	38353	18					ゲツ, ゲチ, ケイ, キ	しきみ	the doorsill
闒	38354	18					トウ, ロウ	むら	upper-story door or window
闓	38355	18					カイ	ひら･く	open, peaceful
闙	38361	18					ケイ	ひら･く	
闚	38362	18					キ	うかが･う	flash, flashing, steal look
闝	38365	19					ヒョウ	おぼ･れる	
闞	38366	20					カン, ケン	のぞ･む	glance, peep, roar, growl
闟	38367	20					キュウ, コウ, シュウ, トウ	おちつ･く, と･じる	peacefully, quietly
闠	38368	20					カイ, キ		gate of a market
闤	38372	21					カン, ゲン, ワン, エン	かき	wall around market place
闦	38374	21					ゴン		
阝	38429	3						こざと	place, left village radical - 2 stroke form (no. 170)
阞	38430	5					ロク		vein
阢	38434	6					ゴツ, ゴチ, ギ		
阤	38436	6					チ, シ, タ	さか, くず･れる	hill
阥	38437	7					イン	かげ, かげ･る	
阦	38438	7					ヨウ	ひ	
阬	38444	7					コウ, キョウ	あな	pit, hole, shaft
阱	38449	7					セイ, ジョウ	あな	pitfall, trap, snare
阳	38451	7					ヨウ	ひ	"""male"" principle, light, sun"
阷	38455	8					テイ, チョウ	の･む	
阸	38456	8					ヤク, アイ, アク	せま･い, ふさが･る, せま･る	distress, difficulty
阹	38457	8					キョ		pen, to surround
阺	38458	8					キョ, コ, テイ	おり	
阼	38460	8					ソ, サク		steps leading to the eastern door or throne
阽	38461	8					エン, テン	くずれか･かる	
陁	38465	8					タ, イ, チ, ジ	けわ･しい, ななめ	steep bank, declivity
陒	38482	9					キ	やぶれたかき, やぶ･れる, けわ･しい	
陔	38484	9					カイ, ケ		step, terrace, grade, ledge
陖	38486	10					シュン, カイ	そばだ･つ	
陗	38487	10					ショウ	まっすぐでたかい, けわ･しい, たか･い, きび･しい, せま･る, かく･れる, せっかち	steep hill, precipitous
陘	38488	10					ケイ, キョウ	たに	defile, mountain pass, gorge
陡	38497	10					トウ, ツ	そばだ･つ	steep, sloping, abruptly, sudden
陮	38510	11					タイ, テ	たか･い, あやう･い	
陴	38516	11					ヒ, ハイ	ひめがき	parapet on a city wall
陻	38523	12					シュ, ショウ, ジュ, トウ, ズ	ふさ･ぐ	small hill, mound, bury, dam
陼	38524	12					ショ, ト, ツ, ズ	しま	islet
陾	38526	12					ジョウ, ニョウ, ジ, ニ	おお･い	in file
陿	38527	12					キョウ, コウ	せま･い	
隁	38529	12					エン	つつ･み	
隂	38530	12					イン	かげ, かげ･る	shady, secret, dark, mysterious, cold, the negative of female principle in nature
隃	38531	12					シュ, ユ, ヨウ	こ･える	to exceed, state in Shanxi province
隄	38532	12					テイ, タイ, シ, ジ	つつ･み	dike, embankment
隉	38537	12					ゲツ, ゲチ	あや･うい	in disorder, dangerous condition of the State
隑	38545	13					カイ, キ, ゲ	なが･い	
隖	38550	13					オ, ウ	つつ･み	entrenchment, bank, low wall
隚	38554	13					トウ	いしずえ	
隝	38557	14					トウ, チョウ	しま	
隟	38559	14					キャク, ケキ	すき, す･く, す･かす, ひま	
隤	38564	15					タイ, ズイ, タ	お･ちる	to fall in ruins, to collapse
隥	38565	15					トウ, サカ	きだ	
隦	38566	16					ヘイ, ヒ	ひめがき	
隩	38569	16					オウ, イク	くま	profound, subtle, warm, inhabited
隮	38574	17					セイ, サイ	のぼ･る	to rise up, rainbow, to fall
隯	38575	17					トウ, チョウ	しま	
隳	38579	18					キ	くず･れる	to destroy, to overthrow
隺	38586	10					コク, カク	あ･がる	bird flying, high ambition
雊	38602	13					コウ, ク		the crow of a male pheasant
雒	38610	14					ラク	みみずく	black horse with white mane
嶲	23986	16					ケイ, エ, キ, スイ	めぐり, つばめ	name of an old town in Sichuan, cuckoo, revolution of a wheel
雘	38616	18					ワク, コ	しんしゃ	dye made from red soil, ochre
雚	38618	18					カン	こうのとり	heron, small cup
雝	38621	18					ヨウ, ユ	やわ･らぐ	marsh, pool, harmonious
雞	38622	18					ケイ	にわとり, とり	chickens, domestic fowl
雟	38623	18					ケイ, エ, キ, スイ	めぐり, つばめ	sparrow, revolve, place name
雩	38633	11					ウ, ク, キョ, コ	あまごい	offer sacrifice for rain
雯	38639	12					ブン, モン		cloud patterns, coloring of cloud
雱	38641	12					ホウ		snowing heavily
雺	38650	13					ム, ボウ, ブ	きり	
霂	38658	15					ボク, モク		fine rain, drizzle
霃	38659	15					チン, ジン	くも･る	long continued rains
霅	38661	15					ショウ, ソウ, ギョウ, トウ	やかま･しい	thunder
霉	38665	15					バイ, メ	つゆ, しめり, しみ	mildew, mold, moldy, mildewed
霚	38682	17					ム, ボウ, ブ	きり	
霛	38683	17					レイ, リョウ	たま	
霝	38685	17					レイ, リョウ		drops of rain, to fall in drops
霡	38689	17					バク, ミャク, ベキ	こさめ	drizzling rain, to soak (used fig. of favours)
霢	38690	18					バク, ミャク, ベキ	こさめ	dust
霣	38691	18					イン, コン, ウン	あめ	fall
霨	38696	19					イ		clouding
霱	38705	20					イツ, イチ	めでたいくも	cloud
霳	38707	21					リュウ, リュ		
靁	38721	23					ライ	かみなり	thick, strong
靃	38723	24					カク, スイ	はおと	
靊	38730	26					フウ, フ		
靎	38734	26					カク	つる	
靏	38735	26					カク	つる	
靕	38741	13					シン	ただ･しい	
靗	38743	14					テイ, チョウ	うかが･う	
靘	38744	14					セイ		
靚	38746	15					セイ, ショウ		make up face, ornament, quiet
靛	38747	16					テン	あい	indigo, any blue (plant) dye
靣	38755	8					メン, ベン	おも, おもて, つら	
靧	38759	21					カイ, ケ	かおをあら･う	wash face
靪	38762	11					テイ, チョウ, ダイ	おぎなう	to cobble, to patch
靮	38766	12					テキ, チャク	たづな	bridle
靳	38771	13					キン, コン	むながい	ornamental trappings under collar
靶	38774	13					ハ	たづな	target, splashboard on chariot
靷	38775	13					イン, チン, ジン	ひきづな	the leather belts that connect h
靸	38776	13					ソウ, シュウ	くつ	child's shoes, slippers
靻	38779	14					ソ, タツ	おもがい	
靽	38781	14					ハン	きずな, ほだ･す, つな･ぐ	
靿	38783	14					オウ, ヨウ	かわぐつ	the leg of a boot
鞀	38784	14					トウ	ふりつづみ	drum
鞉	38793	15					トウ	ふりつづみ	drum
鞕	38805	16					ゴウ, ギョウ	かた･い	
鞖	38806	16					サイ		
鞗	38807	16					チョウ, トウ	たづな	reins
鞙	38809	16					ケン		fine
鞚	38810	17					コウ, ク	おもがい	bridle
鞞	38814	17					ヘイ, ヒョウ, ヒ, バイ	さや	sheath
鞟	38815	17					カク		skin
鞢	38818	18					ショウ, トウ		
鞬	38828	18					ケン, コン	ゆみぶくろ	quiver on a horse, store
鞮	38830	18					テイ, タイ	かわぐつ	leather shoes
鞱	38833	19					トウ	ゆぶくろ, ゆみぶくろ, つつ･む	
鞲	38834	19					コウ, ク	ゆごて	leather arm guard
鞵	38837	19					アイ, カイ	わらじ, くつ	shoes, boots
鞶	38838	19					ハン		big leather belt
鞸	38840	20					ヒツ, ヒチ, ヘイ, ヒョウ	ひざかけ	leather arm guard
鞹	38841	20					カク		skin
鞺	38842	20					トウ		sound of drums
鞼	38844	21					キ, カイ, ケ, エ, ワイ	たづな, つよ･い, くじく, くじける, ぬいとりをしたなめしがわ	
鞾	38846	21					カ	くつ	boots
鞿	38847	21					キ, ケ	くつばみ	
韁	38849	22					キョウ, コウ	たづな	reins, halter, bridle
韄	38852	23					アク, ヤク, カク, ギャク	かたのさげお	
韅	38853	23					ケン		harness
韇	38855	24					トク	やづつ	
韉	38857	26					セン	したぐら	saddle blanket
韊	38858	30					ラン, レン	やづつ, えびら	case for a bow
韌	38860	12					ジン, ニン	しなや･か	strong and pliable, resilient
韍	38861	14					フツ, フチ, ヒ	ひざかけ	leather garment
韎	38862	14					バイ, マイ, バツ	あかねぞめのかわ	red
韐	38864	15					コウ, キョウ	かわ	knee-pad made of red-dyed leather
韑	38865	15					イ	ひかり	
韔	38868	17					チョウ, リョウ	ゆみぶくろ	wrapper or case for bow
韗	38871	18					ウン, クン, ケン, カン	くつ	
韘	38872	18					ショウ	ゆがけ	archer's thumb ring
韙	38873	18					イ	ただ･しい	right, proper, propriety
韝	38877	19					コウ, ク	ゆごて	leather arm-band
韞	38878	19					オン, ウン	かきいろ	an orange color, hide, conceal
韠	38880	20					ヒツ, ヒチ	ひざかけ	knee-pad
韛	38875	20					ハイ, フク, コウ	ふいご, えびら	
韡	38881	21					イ	さかん	gorgeous
韤	38884	24					ベツ, モチ, バツ, マチ	くつした, たび	socks, stockings
韯	38895	15					セン	やまにら	wild onions or leeks
韱	38897	17					セン	やまにら	wild onions or leeks
韴	38900	13					ソウ	とぎ･れる, とぎれごえ, ふつ	
韷	38903	14					ラク, リャク	かまびす･しい	
韸	38904	16					ホウ, ボ, フウ, フ	やわ･らぐ	
韺	38906	18					エイ, ヨウ		music
頇	38919	12					カン, ガツ, ガチ	おお･きい	large face, flat face, stupid
頊	38922	13					キョク, コク, ギョク	ただ･しい	grieved, anxious
頙	38937	13					サク, シャク, シン	ただ･しい	correct
頍	38925	13					キ, ケン	あたまをあ･げる	to raise one's head
頎	38926	13					キ, ゲ, キン, コン	かたちがよい	tall and slim
頔	38932	14					テキ, ジャク	うつく･しい, よい	good and beautiful
頖	38934	14					ハン	わかつ	Zhou dynasty school, disperse, fall apart
頜	38940	15					カン, ゴン, コウ	あご	mouth, jaw
頞	38942	15					アツ, アチ, アン	はなすじ	(nose) bridge
頠	38944	15					ガイ, ギ	しとやか	quiet
頣	38947	15					シン	うかがいみる	to view others with raised eyes
頦	38950	15					カイ	あご	chin
頫	38955	15					フ, バン, マン	うつむ･く	bow, nod, condescend
頮	38958	16					カイ, ケ	かおをあら･う	wash
頯	38959	16					カイ, キュウ, グ	ほおぼね	cheekbone
頰	38960	16	8				キョウ	ほお, ほほ	cheeks, jaw
頲	38962	16					テイ, チョウ		straight
頳	38963	16					テイ, チョウ	あか･い	red
頵	38965	16					イン, キン	おお･きい	
頥	38949	16					イ	おとがい, あご	
頾	38974	17					シ	ひげ, くちひげ	beard
顄	38980	17					カン, ゴン	おとがい	
顇	38983	17					スイ, シュツ, ジュウ	やつ･れる	be worn-out, be haggard
顊	38986	17					イ	おとがい	
顑	38993	18					カン, コン, ケン	きいろい	yellow
顒	38994	18					ギョウ, グ	おお･きい	solemn, large, grand, majestic
顓	38995	18					セン	うやうや･しい	good, honest, simple, respectful
顖	38998	19					シン, シ	ひよめき	top of the head, skull
顗	38999	19					ギ, ゲ, ガイ	うやうや･しい	quiet
顙	39001	19					ソウ	ひたい	the forehead, to kowtow
顚	39002	19	9				テン	いただ･き, たお･れる	top, peak, summit, upset
顢	39010	20					バン, マン	おおきなかお	dawdling, thoughtless, careless
顣	39011	20					シュク, セキ, シャク	まゆをひそ･める	frown
顥	39013	21					コウ	しろ･い	luminous, clarity, white, hoary
顦	39014	21					ショウ	やつ･れる	be worn-out, emaciated, haggard
顪	39018	22					カイ, ケ	ほお	
顬	39020	23					ジュ, ニュ	こめかみ	the temporal bone, temple (of the head)
颫	39083	13					フ		storm
颭	39085	14					セン	そよぐ	sway in wind
颮	39086	14					ヒョウ	つむじかぜ	storm whirlwind
颰	39088	14					ハツ, ホチ, バチ, フツ, ブチ, ヘツ	はやて	
颴	39092	16					セン	つむじかぜ	whirlwind
颷	39095	17					ヒョウ	つむじかぜ	whirlwind
颸	39096	18					シ	すずしいかぜ	cool breeze of autumn
颺	39098	18					ヨウ	あ･げる	soar, fly, float, scatter
颻	39099	19					ヨウ		floating in air, drifting with wind
颿	39103	19					ハン, ボン, ヘン	はし･る	sail
飂	39106	20					リュウ, ル, リク, ロク	ふく	wind in high places
飅	39109	20					リュウ, ル	ふく	
飈	39112	21					ヒョウ	つむじかぜ	whirlwind
飌	39116	27					フウ, フ	かぜ, かざ-	wind
飡	39137	11					サン, ソン	の･む, くら･う	meal, eat
飣	39139	11					テイ, チョウ	たくわ･える	display food for show only, sacrifice
飥	39141	12					タク	もち	rice cake
飦	39142	12					ケン, コン, セン, カン	かゆ, ほしいい	well-boiled congee or gruel, thick, rich
飧	39143	12					ソン	ばんめし	evening meal, supper, cooked food
飪	39146	13					ジン, ニン	に･る	cooked food, cook until well done
飳	39155	14					シュ, チュ, トウ, ツ	こなもち	
飶	39158	14					ヒツ, ビチ, ヘツ, ベチ	かおり	odour
餂	39170	15					テン	うまい	to obtain by hook
餇	39175	15					ト, ズ	くいもの	food
餈	39176	15					シ	もち	rice cake
餑	39185	16					ホツ, ボチ, コウ	なが･い	ferrule, cakes, biscuits
餕	39189	16					シュン, セン	たべのこし	leftovers
餖	39190	16					トウ, ズ		food item set out for show only
餗	39191	16					ソク, サク	かゆ	food in tripod, rice porridge
餚	39194	17					コウ, ギョウ	そな･える	prepared meat, food
餛	39195	17					コン		dumpling soup, wonton
餜	39196	17					カ	もち	cakes, biscuits, pastry
餟	39199	17					テツ, テチ, テイ	まつ･る	libation
餢	39202	17					ホウ, ブ		
餦	39206	17					チョウ	あめ, もち	candy, pastry
餧	39207	17					ダイ, イ	う･える	steamed bread, to feed
餫	39211	18					ウン, コン	おく･る	dumpling, supply
餱	39217	18					コウ, グ	ほしいい	dry goods, dry provisions
餲	39218	18					エイ, アツ, アチ, アイ	くさる	spoiled, sour, moldy
餳	39219	18					トウ, セイ	あめ	sugar, syrup, malt sugar, sticky
餴	39220	18					フン	むす, むしめし	
餵	39221	19					ダイ, イ	う･える	to feed, to raise
餹	39225	19					トウ	あめ	sugar, sugared, candy, crystallized sweetmeats
餺	39226	19					ハク		rice cake
餻	39227	19					コウ	こなもち	cakes, pastry
餼	39228	19					キ, ケ	おくりもの	sacrificial victim, gift, grain
饀	39232	19					トウ	こなもち	
饁	39233	19					ヨウ, オウ, コウ	おく･る	carry meal to workers in field
饆	39238	20					ヒツ, ヒチ	もち	
饇	39239	20					ヨ, オ, ウ, オウ	あく	to eat too much, surfeited, to confer
饈	39240	20					シュウ, シュ	すす･める	food, meal, eat, offer
饍	39245	21					セン	かしわ, すす･める, そな･える	meals, provisions, board
饎	39246	21					シ, キ	さけさかな, む･す	wine and food eaten with wine
饔	39252	22					ヨウ, ユ	に･る	breakfast, eat prepared food
饘	39256	22					セン	かゆ	gruel
饙	39257	22					フン	むす, むしめし	
饛	39259	23					ボウ, ム	やまもり	
饜	39260	23					エン	あく	be satiated, eat one's full
饞	39262	26					サン, ゼン	むさぼ･る	gluttenous, greedy, lewd, lecher
饟	39263	26					ショウ	げ, け, かれい, かれい･い, べんとう	rations and pay for soldiers, dried rice
饠	39264	28					ラ	もち	rice cake
馛	39323	14					ハツ, バチ, ヘツ, ヘチ	にお･い, こうば･しい	fragrance, fragrant
馝	39325	14					ヒツ, ビチ, ヘツ, ベチ	かおり	fragrance
馟	39327	16					ト, ズ	こうば･しい	fragrant
馦	39334	19					ケン	こう	
馰	39344	13					テキ, チャク		
馱	39345	13					タ, タイ	の･せる	carry on back, horse load
馲	39346	13					タク, チャク, ラク, ワク	らば	
馵	39349	13					シュ, ソク, ゾク		horse with white back legs
馹	39353	14					ジツ, ニチ	はやうま	post horse, relay horse
馺	39354	14					ソウ	おいつく	
馽	39357	14					チュウ, ショウ	つな･ぐ	
馿	39359	14					ロ, リョ	うさぎうま	ass, donkey
駃	39363	14					ケツ, ケチ, ガイ, ケ	らば	gallop
駉	39369	15					ケイ, キョウ	まき, まきば	big
駓	39379	15					ヒ	しらかげ	gallop
駔	39380	15					ソウ, ソ, ショ	うま	excellent horse, noble steed
駙	39385	15					フ	そえうま, ちか･い	extra horse, imperial son-in-law
駚	39386	15					ヨウ, オウ		
駜	39388	15					ヒツ, ビチ, ヒ	こ･える	strong horse
駞	39390	15					タ	せむし	camel
駧	39399	16					トウ, ズ	はし･る	
駪	39402	16					シン	おお･い	crowd
駫	39403	16					ケイ, キョウ	たくま･しい	
駬	39404	16					ジ, ニ	しゅんめ	name of a legendary swift horse
駰	39408	16					イン	どろあしげ	grey horse
駴	39412	17					カイ, アイ	おどろ･く	drum
駵	39413	17					リュウ, ル	くりげ	
駹	39417	17					ボウ, モウ		black horse with a white face
駽	39421	17					ケン		grey
駾	39422	17					タイ	はし･る	run away
騂	39426	17					セイ, ショウ, ケイ, キョウ	あかうま	red, brown, bay, neat, harmonious
騃	39427	17					ガイ, シ, イ, ギ, タイ	おろ･か	stupid, foolish
騄	39428	18					リョク, ロク		name of a legendary swift horse
騋	39435	18					ライ		tall (7 chi) horse
騌	39436	18					ソウ	たてがみ	horse's mane, bristles
騐	39440	18					ケン	あかし, しるし, ため･す	to verity, to fulfill, to examine, to hold an inquest
騑	39441	18					ヒ	そえうま	horse, run
騖	39446	19					ブ, ム	はせる	gallop, rush about, pursue, run
騞	39454	19					カク, キャク, バク, ミャク		
騠	39456	19					テイ, ダイ		horse
騢	39458	19					カ, ゲ	つきげ	bay
騣	39459	19					ソウ, ス	たてがみ	mane
騤	39460	19					キ, ケツ, ケチ	すす･む	(of a horse) lively, vigorous
騧	39463	19					カ, イ, カイ, ゲ		tan horse
騭	39469	20					シツ, シチ, チョク	おすうま	stallion, promote
騮	39470	20					リュウ, ル	くりげ	famous horse
騳	39475	20					トク	はし･る	run, race
騵	39477	20					ゲン, ガン, ガ		bay
騶	39478	20					シュウ, シュ, ス, チュ, スウ	うまかい	mounted escort, groom
騸	39480	20					セン		geld, castrate
驇	39495	21					チ	おもい	heavy horse, horse unable to move because of twisted leg, plodding
驁	39489	21					ゴウ, ギョウ	おご･る	wild horse, mustang, wild
驄	39492	21					ソウ, ス	あしげ	horse with a bluish white color
驊	39498	22					カ, ゲ	あかくりげ	an excellent horse
驋	39499	22					ハツ, ハチ	はし･る	
驌	39500	22					シュク, スク		name of a famous horse
驎	39502	22					リン	まだらうま	
驑	39505	22					リュウ, ル	くりげ	
驔	39508	22					テン, タン, ドン	くろくりげ	black horse
驖	39510	23					テツ, デチ	くろくりげ	black (horse)
驝	39517	24					タク, チャク, ラク, ワク	らば	
骪	39594	13					イ	ま･がる, ま･げる, あつ･まる, すておく	crooked bones
骬	39596	13					ウ		
骮	39598	13					ヨク	こぼね	
骯	39599	14					コウ		dirty
骲	39602	15					ハク, ゴウ, ギョウ, ホウ, ビョウ	やじり	
骴	39604	15					シ, サイ, ジャ	ほね	putrid carcass
骵	39605	15					タイ, テイ	からだ, かたち	
骶	39606	15					テイ, タイ	しり	coccyx, backbone, hips
骹	39609	16					コウ, キョウ, ゴウ	は･ぎ	
骻	39611	16					カ, ケ	またぐら	
骾	39614	17					コウ, キョウ		any object that sticks in throat, bony
骿	39615	18					ヘン		
髁	39617	18					カイ, ケ, カ	もも	thigh bone, hipbone, kneecap
髃	39619	19					グ, ゴウ, ガイ		shoulder bone
髆	39622	20					ハク	かいがらぼね	shoulder blade
髈	39624	20					ホウ	もも	pelvis, hip-bone, humerus
髎	39630	21					リョウ, ロオ, リュウ	こしぼね	hip-bone
髐	39632	22					コウ, キョウ	かぶらや	
髒	39634	23					ソウ	きたない	dirty, firm, fat
髕	39637	24					ヒン		kneecap
髖	39638	25					カン, コン	こしぼね	hipbone, hip
髗	39639	26					ロ	かしら, あたま	the skull, the forehead
髛	39643	15					コウ	あき･らか	
髜	39644	18					キョウ	たか･い	
髠	39648	12					コン	そる	shave head as punishment, prune
髤	39652	14					キュウ, ク, シ	うるし	
髥	39653	14					ゼン, ネン	おおひげ	beard, mustache
髧	39655	14					タン, ドン		long hair
髩	39657	14					ヒン		
髬	39660	15					ヒ		
髲	39666	15					ヒ	かもじ	wig
髳	39667	15					ボウ, ム, モウ	たれがみ	state
髵	39669	16					ジ, ニ	あごひげ	whiskers, bristles on the jaws of an animal
髹	39673	16					キュウ, ク, シ	うるし	
髺	39674	16					ガチ, カツ	たば･ねる	the hair disheveled, as in mourning
髽	39677	17					サ, セ	くくりがみ	to dress the hair
髿	39679	17					サ, シャ		
鬀	39680	17					テイ	かみ, まい, そ･る, す･る	to shave
鬁	39681	17					リ		favus
鬂	39682	17					ヒン		the hair on the temples
鬃	39683	18					ソウ, ズ, ゾウ	たてがみ	mane, neck bristles
鬄	39684	18					テイ, タイ, セキ, テキ, シャク, チャク	かもじ	
鬅	39685	18					ホウ		unkempt hair, loose, flowing hair
鬈	39688	18					ケン	うるわ･しい	fine growth of hair curly hair
鬉	39689	19					ソウ, ス	たてがみ	
鬋	39691	19					セン		forelock, bangs
鬌	39692	19					タ, ツイ, ズイ, キ, ダ	お･ちる	
鬍	39693	19					コ		beard, mustache, whiskers
鬎	39694	19					ラツ		favus, scabies
鬐	39696	20					キ	たてがみ	horse's mane, fins
鬒	39698	20					シン	おお･い	black, glossy hair
鬖	39702	21					サン, シン, セン		wild hair
鬙	39705	21					ソウ	みだ･れる	matted hair
鬛	39707	22					リョウ	たてがみ	
鬜	39708	22					カン, ケン, サン, ゼン	は･げる	to go bald
鬠	39712	23					カツ, ガチ, カイ, ケ	たば･ねる, もとゆい	to make a top knot
鬦	39718	14					トウ	たたか･う, あらそ･う	struggle, fight, compete, contend
鬫	39723	22					カン, ケン	ほ･える	
鬭	39725	24					トウ	たたか･う, あらそ･う	struggle, fight, compete, contend
鬳	39731	16					ケン, ガン, ゴン	こしき	
鬴	39732	17					フ, レキ, リャク	かま	pot
鬵	39733	18					セン, シン	おおがま	big iron pot, cauldron
鬷	39735	19					ソウ, ス	あつ･まる	pot
鬹	39737	21					キ, ケイ, エ	かま	
鬺	39738	21					ショウ	に･る	
鬽	39741	13					ビ, ミ	ばけもの	
魈	39752	17					ショウ	すだま	mischievous, one footed spirit that dwells in the mountains
魋	39755	18					タイ, ズイ, ツイ		bear
魌	39756	18					キ	みにく･い	
魕	39765	21					キ	おに	
魖	39766	23					キョ, コ		
魗	39767	24					シュウ	みにく･い, しこ	
魛	39771	13					トウ	たちうお	the mullet
魞	39774	13						えり	fish trap
魡	39777	14					テキ, チャク, チョウ	つる	
魣	39779	15					ショ, ヨ	たなご, かます	barracuda
魥	39781	15					キョウ, コウ	こがめ, こち, ひもの	
魦	39782	15					サ, シャ, ショウ	さめ, ちちぶ	shark family, including some rays and skates
魨	39784	15					トン	ふぐ	blowfish, globefish, spheroides vermicular
魪	39786	15					カイ	かれい	
魫	39787	15					シン	さかなのこ	the young of fish
魬	39788	15					ハン	かれい	sole or flounder
魭	39789	15					ゲン, ガン	あおうみがめ	
魮	39790	15					ヒ		
魳	39795	15					シ, ソウ	ぶり, はまち, かます	barracuda
魵	39797	15					フン	えび	shrimp
